genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
M5_3.1.filtered.fa	7.413130106507149	0.9298311205135688	0.0122780716078554	219328	1	1	5	8.042191624249757	0.0171801309783385	0.593034177122848	0.998563856501521	0.0314544901093029	0.9967940093335076	0.9994387594276885		False	3992.0	41.67760521042084	0.226690629841218	0.9136408085491652	417	73	71	3015	7083	8525	0.9518260467776644	17457	3086
M5_3.10.filtered.fa	9.484136898871958	0.8926875123688898	0.0075948626341698	323392	20	20	6	13.859904984506551	0.0245244296441078	0.6276500346328914	0.9997693231816288	0.0108514377963509	0.9970932667248014	0.9989161333550106		False	6076.0	66.36109282422646	0.2169052631123624	0.939114363187877	590	220	217	3227	13353	16747	0.8750354449826979	39457	3444
M5_3.100.filtered.fa	4.948342756910951	0.7724958265411236	0.0243698109901927	8916465	367	367	4	5.549056573860019	0.0018660263345339	0.4290252919738932	0.9873409974685152	0.0041999964823617	0.98800069744541	0.9963807602311816		False	38014.0	45.67840795496396	0.1988553714611748	0.9386935732990608	45902	13845	13128	163330	190717	379911	0.920228474553194	794588	176458
M5_3.101.filtered.fa	10.23901865629654	0.8979626387462579	0.0067214833415809	1972846	91	91	10	6.974327832219498	0.0049884820210607	0.7603654821511664	0.9998815540090088	0.0004844865134765	0.9977187944141794	0.9992960394217923		False	2931.0	23.30228590924599	0.4630726998614526	0.9648878235989172	3422	1056	1010	20380	88156	102028	0.9572754013886624	210609	21390
M5_3.102.filtered.fa	6.766264962217707	0.9523368184131464	0.0031186348194021	3515271	22	22	6	4.562419963034484	0.0024349378714395	0.6689233916816086	0.9974575115215584	0.001435999774906	0.9990763134359396	0.9996870012379612		False	2681.0	21.39201790376725	0.3215275287686434	0.9804573204109808	2172	736	724	12566	102612	111052	0.9737629468106244	225326	13290
M5_3.103.filtered.fa	1.6363338682732522	0.5799939168471365	0.0253978814637958	2189654	103	103	1	2.203909710881118	0.0014964379604831	0.0933444279324495	0.7642262937252556	0.0	0.9896277740811772	0.9973335551293592		False	276.0	25.88405797101449	0.374625206987298	0.9377090583867486	2120	545	500	7887	15619	33277	0.9239988139822344	69803	8387
M5_3.104.filtered.fa	4.717154898675179	0.8764411080841396	0.0037280149138225	3387324	81	81	4	3.5737580607952664	0.0019464257823477	0.472143792563097	0.9844741325065712	0.0	0.9991333730172623	0.9997917844262254		False	209.0	17.760765550239235	0.3559918593651112	0.9887159507159508	1386	333	327	9467	69217	74312	0.9728794943249592	151531	9794
M5_3.105.filtered.fa	4.802392445255175	0.760269765432065	0.0251731178720872	1828255	116	116	4	5.5286167460248326	0.0041150146480095	0.4293837566422627	0.9855997905758233	0.0091216794339257	0.9935772582459368	0.9990369708912988		False	8509.0	37.2660712187096	0.2122391819646534	0.9450085682368402	5042	756	702	34284	38637	55454	0.9290637978801616	118083	34986
M5_3.106.filtered.fa	17.599164066546106	0.8478495107021673	0.017762668933758	69561518	3641	3641	11	21.047665148784034	0.0025369071749971	0.6794037617177935	0.9999998217469864	0.0157700001305738	0.994660958655052	0.9988007073243226		False	7347063.0	65.29518135341972	0.2325973663310795	0.9482507074547812	252325	56679	53705	2130847	5368010	7028339	0.9307573380009044	15321644	2184552
M5_3.107.filtered.fa	1.6120973483608914	0.5465728793162297	0.0192070879240995	852567	69	69	1	2.161529103428453	0.0023601558309711	0.1031027473500616	0.759126157727993	0.0	0.9878159768833472	0.9956997565470638		False	4.0	3.25	0.9999999999999994	1.0	1071	378	353	2744	6035	17441	0.9153104360410228	36850	3097
