gene,scaffold
contig_26721_7,contig_26721
contig_26763_18,contig_26763
contig_12452_2,contig_12452
contig_12452_3,contig_12452
contig_46663_5,contig_46663
contig_46663_6,contig_46663
contig_46663_7,contig_46663
contig_46663_8,contig_46663
contig_46663_10,contig_46663
contig_16833_20,contig_16833
contig_59665_65,contig_59665
contig_59665_68,contig_59665
contig_59665_73,contig_59665
contig_17318_8,contig_17318
contig_52854_14,contig_52854
contig_52854_23,contig_52854
contig_13031_2,contig_13031
contig_26132_2,contig_26132
contig_55526_18,contig_55526
contig_43813_14,contig_43813
contig_7916_17,contig_7916
contig_7916_21,contig_7916
contig_7916_24,contig_7916
contig_38459_17,contig_38459
contig_38459_18,contig_38459
contig_29511_1,contig_29511
contig_29511_3,contig_29511
contig_29511_4,contig_29511
contig_29511_5,contig_29511
contig_29511_6,contig_29511
contig_29511_7,contig_29511
contig_29511_8,contig_29511
contig_29511_9,contig_29511
contig_29511_10,contig_29511
contig_29511_11,contig_29511
contig_29511_12,contig_29511
contig_29511_13,contig_29511
contig_29511_14,contig_29511
contig_29511_15,contig_29511
contig_29511_16,contig_29511
contig_29511_20,contig_29511
contig_29511_21,contig_29511
contig_29511_22,contig_29511
contig_29511_24,contig_29511
contig_47622_10,contig_47622
contig_59025_38,contig_59025
contig_43040_3,contig_43040
contig_5412_12,contig_5412
contig_39838_23,contig_39838
contig_45600_17,contig_45600
contig_52190_1,contig_52190
contig_52190_6,contig_52190
contig_52190_8,contig_52190
contig_52190_9,contig_52190
contig_54794_9,contig_54794
contig_41202_6,contig_41202
contig_41202_10,contig_41202
contig_41202_13,contig_41202
contig_26133_28,contig_26133
contig_53524_14,contig_53524
contig_53524_15,contig_53524
contig_53524_18,contig_53524
contig_53524_50,contig_53524
contig_53524_60,contig_53524
contig_53524_76,contig_53524
contig_53524_79,contig_53524
contig_53586_17,contig_53586
contig_39219_19,contig_39219
contig_39630_35,contig_39630
contig_517_2,contig_517
contig_517_3,contig_517
contig_517_4,contig_517
contig_517_5,contig_517
contig_517_7,contig_517
contig_517_8,contig_517
contig_517_9,contig_517
contig_517_10,contig_517
contig_517_11,contig_517
contig_517_12,contig_517
contig_517_15,contig_517
contig_517_16,contig_517
contig_517_24,contig_517
contig_517_26,contig_517
contig_517_27,contig_517
contig_517_35,contig_517
contig_517_36,contig_517
contig_517_37,contig_517
contig_47123_7,contig_47123
contig_47123_8,contig_47123
contig_47123_9,contig_47123
contig_41738_15,contig_41738
contig_41738_24,contig_41738
contig_41738_25,contig_41738
contig_41738_35,contig_41738
contig_26899_9,contig_26899
contig_40887_17,contig_40887
contig_40887_23,contig_40887
contig_42312_13,contig_42312
contig_42312_25,contig_42312
contig_42312_32,contig_42312
contig_42312_35,contig_42312
contig_42312_36,contig_42312
contig_42312_41,contig_42312
contig_44652_8,contig_44652
contig_44652_17,contig_44652
contig_39029_12,contig_39029
contig_39029_23,contig_39029
contig_39029_50,contig_39029
contig_39029_53,contig_39029
contig_39029_57,contig_39029
contig_39029_58,contig_39029
contig_7792_19,contig_7792
contig_39231_11,contig_39231
contig_39231_23,contig_39231
contig_39231_24,contig_39231
contig_6256_1,contig_6256
contig_6256_37,contig_6256
contig_6256_45,contig_6256
contig_6256_54,contig_6256
contig_49671_4,contig_49671
contig_49671_5,contig_49671
contig_53050_6,contig_53050
contig_55856_4,contig_55856
contig_39110_9,contig_39110
contig_39110_12,contig_39110
contig_15907_31,contig_15907
contig_15907_53,contig_15907
contig_15907_116,contig_15907
contig_877_13,contig_877
contig_877_16,contig_877
contig_877_17,contig_877
contig_877_24,contig_877
contig_877_34,contig_877
contig_877_38,contig_877
contig_55417_19,contig_55417
contig_55417_22,contig_55417
contig_36642_5,contig_36642
contig_36642_22,contig_36642
contig_36642_23,contig_36642
contig_36642_24,contig_36642
contig_36642_25,contig_36642
contig_36642_47,contig_36642
contig_36642_51,contig_36642
contig_36642_73,contig_36642
contig_36642_104,contig_36642
contig_36642_116,contig_36642
contig_36642_122,contig_36642
contig_36642_129,contig_36642
contig_45585_20,contig_45585
contig_45585_29,contig_45585
contig_45585_35,contig_45585
contig_45585_40,contig_45585
contig_45585_41,contig_45585
contig_45585_46,contig_45585
contig_45585_54,contig_45585
contig_45585_60,contig_45585
contig_23998_20,contig_23998
contig_41238_1,contig_41238
contig_41238_2,contig_41238
contig_41238_3,contig_41238
