MAG	Domain	Phylum	Class	Order	Family	Genus	Species	Site + Depth	BUSCO Completeness	BUSCO Contamination	CheckM2 Completeness	CheckM2 Contamination	Genome size	Total Contigs	Max contig length	N50	GC %
M5_3.105.filtered.fa	Bacteria	Desulfobacterota	DSM-4660	Desulfatiglandales	Desulfatiglandaceae	4484-190-2	NA	M5 3	37.9	1.7	46.69	1.58	1.83Mb	116	82Kb	18Kb	47
M5_3.122.filtered.fa	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	CAJQQK01	NA	M5 3	48.3	1.7	72.57	3.5	5.15Mb	188	113Kb	37Kb	55.00000000000001
M5_3.18.filtered.fa	Bacteria	Desulfobacterota	DSM-4660	Desulfatiglandales	Desulfatiglandaceae	NA	NA	M5 3	28.4	0	23.97	0.31	843Kb	46	46Kb	23Kb	47
M5_3.180.filtered.fa	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA11574	NA	NA	M5 3	11.2	0	23.08	0.74	1.02Mb	65	59Kb	22Kb	43
M5_3.202.filtered.fa	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	E44-bin32	E44-bin32	NA	M5 3	44	0	50.41	0.66	1.82Mb	76	75Kb	29Kb	52
M5_3.248.filtered.fa	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA11574	NA	NA	M5 3	45.7	5.2	52.15	6.7	2.33Mb	98	154Kb	35Kb	43
M5_3.252.filtered.fa	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_A	NA	M5 3	71.6	1.7	86.55	4.05	3.55Mb	104	176Kb	55Kb	56.99999999999999
M5_3.3.filtered.fa	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	NA	M5 3	99.1	0	99.91	3.29	4.46Mb	52	605Kb	340Kb	57.99999999999999
M5_3.39.filtered.fa	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA11574	UBA11574	NA	M5 3	16.4	0	26.34	2.34	1.61Mb	124	50Kb	16Kb	43
M5_3.64.filtered.fa	Bacteria	Proteobacteria	Gammaproteobacteria	DSM-19610	DSM-19610	Thiogranum	NA	M5 3	23.3	0	21.38	0.08	812Kb	58	65Kb	16Kb	56.00000000000001
M5_3.68.filtered.fa	Bacteria	Proteobacteria	Gammaproteobacteria	DSM-19610	DSM-19610	Thiogranum	NA	M5 3	74.1	0.9	85.45	6.5	3.13Mb	127	81Kb	35Kb	54
M1_3.148.filtered.fa	Bacteria	Proteobacteria	Gammaproteobacteria	DSM-19610	DSM-19610	Thiogranum	NA	M1 3	90.5	1.7	96.89	5.16	4.78Mb	50	375Kb	166Kb	56.00000000000001
M1_3.156.filtered.fa	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA11574	UBA11574	NA	M1 3	62.1	4.3	57.16	6.19	2.79Mb	124	108Kb	34Kb	43
M1_3.182.filtered.fa	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	NA	M1 3	98.3	0	99.85	2.26	4.75Mb	38	608Kb	271Kb	57.99999999999999
M1_3.191.filtered.fa	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA11574	JAAXQD01	JAAXQD01 sp012974475	M1 3	83.6	0	86.73	2.96	2.85Mb	37	246Kb	120Kb	46
M1_3.23.filtered.fa	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium_A	NA	M1 3	14.7	0	18.1	0.24	628Kb	28	40Kb	25Kb	56.99999999999999
M1_3.34.filtered.fa	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	CAJQQK01	NA	M1 3	27.6	0	14.96	0.94	645Kb	37	36Kb	21Kb	55.00000000000001
M1_3.61.filtered.fa	Bacteria	Proteobacteria	Gammaproteobacteria	DSM-19610	DSM-19610	Thiogranum	NA	M1 3	25.9	0	15.2	0.31	575Kb	32	43Kb	22Kb	56.00000000000001
M1_3.88.filtered.fa	Bacteria	Desulfobacterota	DSM-4660	Desulfatiglandales	HGW-15	NA	NA	M1 3	6.9	0	16.74	0.25	860Kb	40	63Kb	27Kb	50
M1_3.93.filtered.fa	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA11574	NA	NA	M1 3	51.7	0.9	48.75	3.4	2.02Mb	87	108Kb	34Kb	44
