genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
M5_3.1.filtered.fa	15.033137583892618	0.9546706302888824	0.0125484953834025	219328	1	1	14	10.117799249598969	0.0216141475411388	0.8931235409979574	0.9999982818466654	0.0283262183491602	0.9907497689994742	0.996727705258644		False	6838.0	47.84059666569172	0.2574049503178126	0.9390843321675364	1812	641	624	5791	14499	17550	0.9431370459310872	6415	35562
M5_3.10.filtered.fa	4.772798956065704	0.7807707055214724	0.0091662057720678	323392	20	20	3	7.977300083558869	0.0141154455869554	0.314024465663962	0.9852185384036514	0.0025209766660998	0.9942591553179128	0.9977056315421504		False	2436.0	47.5004105090312	0.2043467567002565	0.9660737176017066	583	233	227	1991	6847	9667	0.8958064072103695	2218	21643
M5_3.100.filtered.fa	4.10997643124265	0.6866683153020844	0.0253106930080903	8916465	367	367	2	5.762127647280515	0.0019376774753789	0.3294207962460459	0.9734601841527027	0.0040284074446083	0.9816530253102456	0.9927102352559468		False	69608.0	51.60037639351798	0.174857057363626	0.9375330102475562	53890	21412	20198	135436	159649	447987	0.9062432497648784	155634	921943
M5_3.101.filtered.fa	6.66313690982469	0.8712342473766326	0.0069997847650842	1972846	91	91	6	5.502652804344228	0.0039358466138915	0.604554536948145	0.9972151183203624	0.0050217479194133	0.9946767525255872	0.9980757831227316		False	4656.0	30.83118556701031	0.3025792656959807	0.9710519778326558	6349	2295	2221	16002	58357	77485	0.9537483789576424	18223	159598
M5_3.102.filtered.fa	18.172428526847572	0.9676207040652058	0.0032661768774453	3515271	22	22	18	10.053380575632769	0.0053654326646689	0.9318911685613996	0.9999998925515232	0.0064142846967174	0.997349084970313	0.998647679228292		False	33091.0	37.54455894351938	0.3582895856130265	0.9805229603343192	8684	4430	4371	24829	278194	303512	0.975103510937998	29200	613493
M5_3.103.filtered.fa	1.3166778860952462	0.4089892741044932	0.0213270691759016	2189654	103	103	0	2.720686032001845	0.001847325158895	0.0844512420683815	0.6873361331814104	0.0022490759858339	0.9756271664891114	0.9860695764091304		False	1807.0	40.04537908135031	0.2788820467202111	0.9371286981685258	4507	2576	2483	6250	12625	64725	0.8933626338939136	8733	132202
M5_3.104.filtered.fa	7.555055849396161	0.8967305755221526	0.0031859984215496	3387324	81	81	7	5.407287360582533	0.0029450464614996	0.6880634979116258	0.9987330138575766	9.77232753893779e-05	0.9957411826691964	0.9977362965708926		False	1545.0	31.46084142394822	0.3255549609258606	0.965249697709432	9926	5276	5215	13409	111750	124687	0.9720262556194118	18624	252937
M5_3.105.filtered.fa	4.646955703662782	0.7229396336944245	0.0226919668958529	1828255	116	116	3	5.757680124946815	0.0042855092224913	0.4015719907780917	0.9834812947116128	0.002366591186835	0.982878764764852	0.9937644379549316		False	10672.0	44.11103823088456	0.2191411397686972	0.964872688302748	12570	4578	4390	30062	37842	62312	0.9202157655670886	34452	130933
M5_3.106.filtered.fa	18.19262032205795	0.8411115036333738	0.0176578345135134	69561518	3641	3641	12	22.016964847857093	0.0026537383457668	0.6906487578376309	0.999999894450283	0.0175104944215421	0.9917468621998954	0.9975453647614566		False	9107045.0	65.62932718571172	0.2296469274655105	0.949344975339276	396502	117927	113049	2227003	5642225	7814185	0.9232587993142516	2340052	16845616
M5_3.107.filtered.fa	0.6659218571678237	0.2999576572867587	0.0116445611529249	852567	69	69	0	1.384833136369925	0.0015120878995066	0.0274136812707974	0.4445679501458222	0.0	0.9771093616293	0.9841263049803184		False					535	371	361	387	2519	16124	0.890962633430287	748	33103
